IUPAC,ion1,ion2,density,temperature,pressure
1-(2-chloroethyl)-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[Cl][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1194.6,363.15,101.325
1-(2-cyanoethyl)imidazolium 4-methylbenzenesulfonate,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1229,363.15,101.325
1-(2-cyanoethyl)imidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1073.2,363.15,101.325
1-(2-cyanoethyl)imidazolium butanoate,[C][Branch1][Ring2][C][C][C][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1021.9,363.15,101.325
1-(2-cyanoethyl)imidazolium formate,[C][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1154.7,363.15,101.325
1-(2-cyanoethyl)imidazolium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],986.3,363.15,101.325
1-(2-cyanoethyl)imidazolium hydrogen sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1385.9,363.15,101.325
1-(2-cyanoethyl)imidazolium propionate,[C][Branch1][Ring1][C][C][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N+1][=C][N][C][=C][Ring1][Branch1],1046.2,363.15,101.325
1-(2-hydroxyethyl)-3-methylimidazolium glycinate,[N][C][C][=Branch1][C][=O][O-1],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1327.9,363.15,100
1-(2-hydroxyethyl)-3-methylimidazolium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1187.9,363.15,100
1-(2-hydroxyethyl)-3-methylimidazolium L-prolinate,[N][C@@H1][Branch1][=Branch1][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O-1],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1197.3,363.15,100
1-(2-hydroxyethyl)-3-methylimidazolium L-serinate,[N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][O-1],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1269.3,363.15,100
1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[O][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1527.29,363.15,101.325
1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][O][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1394.2,363.15,101.325
1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][#Branch1][C][#N][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1112.1,363.15,101.325
"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C],1410,363.15,101.325
"1,3-dibutyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C],1282.5,363.15,101.325
"1,3-diethylimidazolium ethyl sulfate",[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1160.3,363.15,101.325
1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring1][C][=C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1431.7,363.15,100
1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring1][C][=C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1431.7,363.15,101.325
1-allyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring1][C][=C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1067.6,363.15,101.325
1-benzyl-3-butylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C],1237.2,363.15,101.325
1-benzyl-3-methyl-1H-imidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1143.6,363.15,101.325
1-benzyl-3-methylimidazolium 2-acrylamido-2-methylpropanesulfonate,[C][Branch1][Ring1][C][=C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][C][C],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1098,363.15,101.325
1-butyl-1H-benzimidazolium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][NH1+1][C][=N][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1],1365.2,363.15,101.325
1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C],1326,363.15,101.325
1-butyl-1-methylpyrrolidinium 2-acrylamido-2-methylpropanesulfonate,[C][Branch1][Ring1][C][=C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][C][C],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1059.6,363.15,101.325
1-butyl-1-methylpyrrolidinium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],983.5,363.15,101.325
1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,[F][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1256.8,363.15,100
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1338.823,363.15,100
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1338.823,363.15,101.325
1-butyl-1-methylpyrrolidinium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1127.9,363.15,101.325
1-butyl-1-methylpyrrolidinium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],996.43,363.15,100
1-butyl-1-methylpyrrolidinium trifluoroacetate,[F][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1127.7,363.15,100
1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1205.9,363.15,101.325
"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][NH1+1][C][Branch1][=Branch2][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1359.55,363.15,101.325
"1-butyl-2,3-dimethylimidazolium azide",[N-1][=N+1][=N-1],[C][Branch1][Ring2][C][C][C][N+1][=C][Branch1][=Branch2][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1043.9,363.15,101
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][Branch1][=Branch2][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1149.6,363.15,101
1-butyl-2-phenylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][Branch1][=Branch1][N][C][=C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1357.5,363.15,101.325
1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][#N],1422,363.15,101.325
1-butyl-3-methyl-1H-imidazolium dimethylphosphate,[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1118.133333,363.15,100
1-butyl-3-methyl-1H-imidazolium dimethylphosphate,[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1118.133333,363.15,101.325
1-butyl-3-methyl-1H-imidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1139,363.15,101.325
1-butyl-3-methyl-1H-imidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],962.8,363.15,101.325
1-butyl-3-methylimidazolium 2-acrylamido-2-methylpropanesulfonate,[C][Branch1][Ring1][C][=C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][C][C],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1111,363.15,101.325
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1012.854,363.15,100
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1012.854,363.15,101.325
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1375.541667,363.15,100
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1375.541667,363.15,101.325
1-butyl-3-methylimidazolium chloride,[Cl-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1046.8,363.15,100
1-butyl-3-methylimidazolium chloride,[Cl-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1046.8,363.15,101.325
1-butyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1020.366667,363.15,100
1-butyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1020.366667,363.15,101
1-butyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1020.366667,363.15,101.325
1-butyl-3-methylimidazolium hydrogen sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1245.1,363.15,101.325
1-butyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1166.6,363.15,100
1-butyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1166.6,363.15,101.325
1-butyl-3-methylimidazolium nitrate,[N+1][=Branch1][C][=O][Branch1][C][O-1][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1112,363.15,101.325
