IUPAC,ion1,ion2,density
3-[3-(2-hydroxyethyl)-1H-imidazol-3-ium-1-yl]propanenitrile thiocyanate,[S-1][C][#N],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1216.2
1-methyl-3-octyl-1H-imidazolium thiocyanate,[S-1][C][#N],[C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1026.36
1-butyl-1-methylpyrrolidinium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1024.785
1-butyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1070.3125
1-butyl-4-methylpyridinium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1061.42
3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1140.15
3-(3-allyl-1H-imidazol-3-ium-1-yl)propanenitrile thiocyanate,[S-1][C][#N],[C][Branch1][Ring1][C][=C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1162.1
1-allyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][Ring1][C][=C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1167
1-ethyl-3-(2-methoxyethyl)imidazolium thiocyanate,[S-1][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][O][C],1122.1
1-ethyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1119.088889
2-octylisoquinolinium thiocyanate,[S-1][C][#N],[C][Branch1][Branch2][C][C][C][C][C][C][C][N+1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2],1061.7
3-(3-benzyl-1H-imidazol-3-ium-1-yl)propanenitrile thiocyanate,[S-1][C][#N],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1174
1-hexyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1056.816667
3-decyl-1-methyl-1H-imidazolium thiocyanate,[S-1][C][#N],[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1011
1-methyl-3-octylimidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1115.9
1-butyl-3-methyl-1H-imidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1198.9
"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][NH1+1][=C][Branch1][=Branch1][N][Branch1][C][C][C][N][Branch1][C][C][C],1167.2
4-ethyl-4-methylmorpholinium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1252.3
1-ethyl-1-methylpiperidinium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C],1181.3
"1,3-diethylimidazolium ethyl sulfate",[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1203.4
1-ethyl-3-methylimidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1236.760488
1-ethylpyridinium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1252
1-hexyl-3-methylimidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1144.3
