IUPAC,ion1,ion2,density,temperature,pressure
"(S)-1,5-diisobutoxy-1,5-dioxopentan-2-aminium dodecyl sulfate",[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][=Branch1][C][Branch1][C][C][C][O][C][Branch2][Ring1][C][C@H1][Branch1][=C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][NH3+1][=O],1003.5,338.15,101.325
"(S)-1,5-diisopropoxy-1,5-dioxopentan-2-aminium dodecyl sulfate",[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][C][C][Branch1][C][C][O][C][Branch1][P][C@H1][Branch1][=N][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][NH3+1][=O],1021.2,338.15,101.325
(S)-1-isobutoxy-1-oxopropan-2-aminium dodecyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][=Branch1][C][Branch1][C][C][C][O][C][Branch1][=Branch1][C@H1][Branch1][C][C][NH3+1][=O],1012.1,338.15,101.325
(S)-1-isopropoxy-3-methyl-1-oxobutan-2-aminium dodecyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][C][C][Branch1][C][C][O][C][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][NH3+1][=O],997.4,338.15,101.325
(S)-2-(isobutoxycarbonyl)pyrrolidinium dodecyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][=Branch1][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C@H1][NH2+1][C][C][C][Ring1][Branch1],1007.6,338.15,101.325
(S)-2-(isopropoxycarbonyl)pyrrolidin-1-ium dodecyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][O-1],[C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C@H1][NH2+1][C][C][C][Ring1][Branch1],1018.2,338.15,101.325
1-(2-chloroethyl)-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[Cl][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1210.9,338.15,101.325
1-(2-cyanoethyl)-3-(2-hydroxyethyl)-1H-imidazolium chloride,[Cl-1],[C][#Branch1][C][#N][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][O],1232.9,338.15,101.325
1-(2-cyanoethyl)-3-(phenylmethyl)-1H-imidazolium chloride,[Cl-1],[C][#Branch1][C][#N][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1179.8,338.15,101.325
"1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",[C][Branch1][C][C][C][Branch2][Ring2][Ring1][C][O][C][Branch2][Ring1][N][C][Branch1][P][C][C][=Branch1][C][=O][O][C][C][Branch1][Branch1][C][C][C][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][=O][C][C][C][C],[C][#Branch1][C][#N][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1061,338.15,101.325
1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[O][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1480.9,338.15,101.3
1-(2-hydroxyethyl)-1-methylpyrrolidinium dimethyl phosphate,[P][=Branch1][C][=O][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O-1],[O][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1205.2,338.15,101.325
