,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.47898746
2,Direct Learning,0.31288445
3,Direct Learning,0.40742296
4,Direct Learning,0.065042585
5,Direct Learning,0.47382563
6,Direct Learning,0.39065677
7,Direct Learning,0.48755962
8,Direct Learning,0.14716946
9,Direct Learning,0.6347253
10,Direct Learning,0.2843781
11,Direct Learning,0.27386343
12,Direct Learning,0.23316443
13,Direct Learning,0.3783493
14,Direct Learning,0.3725812
15,Direct Learning,0.3017555
16,Direct Learning,0.28818884
17,Direct Learning,0.4767267
18,Direct Learning,0.19665374
19,Direct Learning,0.38125792
20,Direct Learning,0.37274903
21,Direct Learning,0.38328642
22,Direct Learning,0.48822004
23,Direct Learning,0.17977726
24,Direct Learning,0.3762552
25,Direct Learning,0.4113919
26,Direct Learning,0.18540792
27,Direct Learning,0.32338458
28,Direct Learning,0.23298018
29,Direct Learning,0.44795537
30,Direct Learning,0.14514038
31,Direct Learning,0.26976267
32,Direct Learning,0.2843705
33,Direct Learning,0.16873899
34,Direct Learning,0.2937371
35,Direct Learning,0.42295647
36,Direct Learning,0.37555218
37,Direct Learning,0.3183362
38,Direct Learning,0.22427785
39,Direct Learning,0.2777499
40,Direct Learning,0.2381877
41,Direct Learning,0.22535601
42,Direct Learning,0.3109247
43,Direct Learning,0.40475568
44,Direct Learning,0.26916808
45,Direct Learning,0.33970314
46,Direct Learning,0.27054036
47,Direct Learning,0.24332313
48,Direct Learning,0.37452498
49,Direct Learning,0.14257541
50,Direct Learning,0.22466235
51,Direct Learning,0.26464295
52,Direct Learning,0.2694943
53,Direct Learning,0.27996874
54,Direct Learning,0.19323242
55,Direct Learning,0.27547032
56,Direct Learning,0.19676214
57,Direct Learning,0.40551835
58,Direct Learning,0.30296886
59,Direct Learning,0.1528116
60,Direct Learning,0.24978065
61,Direct Learning,0.43978697
62,Direct Learning,0.3183517
63,Direct Learning,0.29925752
64,Direct Learning,0.32763147
65,Direct Learning,0.308119
66,Direct Learning,0.5051824
67,Direct Learning,0.20506056
68,Direct Learning,0.27453098
69,Direct Learning,0.3391173
70,Direct Learning,0.25727707
71,Direct Learning,0.20896813
72,Direct Learning,0.3869036
73,Direct Learning,0.40224895
74,Direct Learning,0.3176062
75,Direct Learning,0.2792109
76,Direct Learning,0.21679676
77,Direct Learning,0.31524932
78,Direct Learning,0.4057885
79,Direct Learning,0.27490705
80,Direct Learning,0.18972111
81,Direct Learning,0.42795935
82,Direct Learning,0.40114698
83,Direct Learning,0.3059881
84,Direct Learning,0.24729577
85,Direct Learning,0.36522585
86,Direct Learning,0.18523562
87,Direct Learning,0.12229184
88,Direct Learning,0.2916112
89,Direct Learning,0.26350957
90,Direct Learning,0.2518192
91,Direct Learning,0.39373532
92,Direct Learning,0.2510783
93,Direct Learning,0.30708104
94,Direct Learning,0.26392353
95,Direct Learning,0.17397465
96,Direct Learning,0.16397639
97,Direct Learning,0.20108338
98,Direct Learning,0.18786746
99,Direct Learning,0.31501478
100,Direct Learning,0.1409491
1,Transfer Learning,0.082243524
2,Transfer Learning,0.121363066
3,Transfer Learning,0.23466972
4,Transfer Learning,0.040920198
5,Transfer Learning,0.15685247
6,Transfer Learning,0.2169697
7,Transfer Learning,0.16190214
8,Transfer Learning,0.108503774
9,Transfer Learning,0.13106695
10,Transfer Learning,0.09807688
11,Transfer Learning,0.08938424
12,Transfer Learning,0.12958539
13,Transfer Learning,0.2321591
14,Transfer Learning,0.09171222
15,Transfer Learning,0.13187312
16,Transfer Learning,0.0804805
17,Transfer Learning,0.08255325
18,Transfer Learning,0.12305156
19,Transfer Learning,0.2041283
20,Transfer Learning,0.087943025
21,Transfer Learning,0.086338624
22,Transfer Learning,0.07807921
23,Transfer Learning,0.09942152
24,Transfer Learning,0.089280665
25,Transfer Learning,0.11339538
26,Transfer Learning,0.060712356
27,Transfer Learning,0.097372495
28,Transfer Learning,0.09259014
29,Transfer Learning,0.10529079
30,Transfer Learning,0.18491346
31,Transfer Learning,0.12848453
32,Transfer Learning,0.09844228
33,Transfer Learning,0.05554496
34,Transfer Learning,0.10625298
35,Transfer Learning,0.12208654
36,Transfer Learning,0.07126342
37,Transfer Learning,0.074956365
38,Transfer Learning,0.061571993
39,Transfer Learning,0.061259724
40,Transfer Learning,0.11806406
41,Transfer Learning,0.20139727
42,Transfer Learning,0.10246116
43,Transfer Learning,0.12845308
44,Transfer Learning,0.10702584
45,Transfer Learning,0.052117325
46,Transfer Learning,0.07413575
47,Transfer Learning,0.11514914
48,Transfer Learning,0.25137088
49,Transfer Learning,0.15712781
50,Transfer Learning,0.06416204
51,Transfer Learning,0.050601494
52,Transfer Learning,0.27514178
53,Transfer Learning,0.13396479
54,Transfer Learning,0.13103563
55,Transfer Learning,0.119924024
56,Transfer Learning,0.047889125
57,Transfer Learning,0.059174947
58,Transfer Learning,0.10641726
59,Transfer Learning,0.12100228
60,Transfer Learning,0.11453279
61,Transfer Learning,0.13468292
62,Transfer Learning,0.10257697
63,Transfer Learning,0.1395197
64,Transfer Learning,0.21324661
65,Transfer Learning,0.120229736
66,Transfer Learning,0.09213723
67,Transfer Learning,0.0646865
68,Transfer Learning,0.13851026
69,Transfer Learning,0.10192003
70,Transfer Learning,0.10327713
71,Transfer Learning,0.07218365
72,Transfer Learning,0.21151397
73,Transfer Learning,0.109106556
74,Transfer Learning,0.09372811
75,Transfer Learning,0.032809936
76,Transfer Learning,0.16812193
77,Transfer Learning,0.058838267
78,Transfer Learning,0.06995761
79,Transfer Learning,0.12625733
80,Transfer Learning,0.14408436
81,Transfer Learning,0.19952866
82,Transfer Learning,0.12348373
83,Transfer Learning,0.059491485
84,Transfer Learning,0.14346324
85,Transfer Learning,0.2058996
86,Transfer Learning,0.08562101
87,Transfer Learning,0.107370995
88,Transfer Learning,0.1024394
89,Transfer Learning,0.030174226
90,Transfer Learning,0.05850222
91,Transfer Learning,0.18413672
92,Transfer Learning,0.057940375
93,Transfer Learning,0.07778777
94,Transfer Learning,0.05340861
95,Transfer Learning,0.1325589
96,Transfer Learning,0.08768966
97,Transfer Learning,0.058884777
98,Transfer Learning,0.10214086
99,Transfer Learning,0.286246
100,Transfer Learning,0.103941284
