,0
0,0.39572722
1,0.21588251
2,0.3078398
3,0.2827562
4,0.1797401
5,0.15826282
6,0.35325631
7,0.31152394
8,0.23976198
9,0.5630452
10,0.19095711
11,0.27508444
12,0.30907592
13,0.2835686
14,0.28336903
15,0.37848827
16,0.2965383
17,0.30828166
18,0.33346385
19,0.5378951
20,0.31918377
21,0.43105498
22,0.5202959
23,0.4707027
24,0.25745434
25,0.44251156
26,0.36423168
27,0.35640466
28,0.4847533
29,0.3236503
30,0.42298427
31,0.48829776
32,0.30434316
33,0.32111412
34,0.35820585
35,0.16456585
36,0.44308734
37,0.2111294
38,0.377703
39,0.25013214
40,0.38340992
41,0.25541517
42,0.28371882
43,0.27651703
44,0.15548165
45,0.47099748
46,0.3291832
47,0.3186165
48,0.29112133
49,0.42082444
50,0.3181893
51,0.38343126
52,0.49511686
53,0.3825214
54,0.27872294
55,0.2249444
56,0.23371263
57,0.2697415
58,0.300874
59,0.47627702
60,0.25676996
61,0.27262408
62,0.3339372
63,0.39325538
64,0.26511583
65,0.12434509
66,0.34016562
67,0.2917481
68,0.38035566
69,0.33418256
70,0.3271556
71,0.23531003
72,0.3494763
73,0.23883557
74,0.57237554
75,0.33320174
76,0.34159127
77,0.42340645
78,0.2913202
79,0.18196157
80,0.34371105
81,0.29568443
82,0.44320846
83,0.3951265
84,0.23484358
85,0.47282392
86,0.26866367
87,0.31417784
88,0.33791047
89,0.56425554
90,0.4444098
91,0.2547695
92,0.24316975
93,0.35085565
94,0.3079588
95,0.2466583
96,0.29184526
97,0.5406429
98,0.25020617
99,0.23565705
