,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.15443668
2,Direct Learning,0.069441244
3,Direct Learning,0.054528076
4,Direct Learning,0.037180465
5,Direct Learning,0.08552198
6,Direct Learning,0.12807891
7,Direct Learning,0.091538236
8,Direct Learning,0.14875332
9,Direct Learning,0.08903389
10,Direct Learning,0.109402396
11,Direct Learning,0.08660929
12,Direct Learning,0.06806328
13,Direct Learning,0.12430118
14,Direct Learning,0.070469044
15,Direct Learning,0.035947442
16,Direct Learning,0.11301994
17,Direct Learning,0.06987919
18,Direct Learning,0.11689025
19,Direct Learning,0.05466684
20,Direct Learning,0.069927506
21,Direct Learning,0.14007874
22,Direct Learning,0.09814002
23,Direct Learning,0.059807427
24,Direct Learning,0.11291877
25,Direct Learning,0.06328553
26,Direct Learning,0.09495889
27,Direct Learning,0.029956961
28,Direct Learning,0.06560519
29,Direct Learning,0.049600475
30,Direct Learning,0.06239269
31,Direct Learning,0.06423909
32,Direct Learning,0.15068042
33,Direct Learning,0.053896718
34,Direct Learning,0.030010264
35,Direct Learning,0.054884363
36,Direct Learning,0.03483631
37,Direct Learning,0.11909457
38,Direct Learning,0.16094139
39,Direct Learning,0.0788336
40,Direct Learning,0.06683821
41,Direct Learning,0.056652598
42,Direct Learning,0.060832985
43,Direct Learning,0.07083249
44,Direct Learning,0.056702703
45,Direct Learning,0.071619794
46,Direct Learning,0.08748093
47,Direct Learning,0.034226798
48,Direct Learning,0.052099813
49,Direct Learning,0.024020243
50,Direct Learning,0.09761883
51,Direct Learning,0.037993655
52,Direct Learning,0.0925003
53,Direct Learning,0.04919511
54,Direct Learning,0.06104791
55,Direct Learning,0.1271848
56,Direct Learning,0.14989865
57,Direct Learning,0.015859004
58,Direct Learning,0.07753655
59,Direct Learning,0.14417051
60,Direct Learning,0.101694204
61,Direct Learning,0.039711982
62,Direct Learning,0.11341681
63,Direct Learning,0.09095987
64,Direct Learning,0.09541364
65,Direct Learning,0.06762342
66,Direct Learning,0.0645113
67,Direct Learning,0.031097654
68,Direct Learning,0.03602288
69,Direct Learning,0.060124785
70,Direct Learning,0.075331666
71,Direct Learning,0.08689597
72,Direct Learning,0.13035432
73,Direct Learning,0.1109754
74,Direct Learning,0.07609672
75,Direct Learning,0.105245605
76,Direct Learning,0.10266119
77,Direct Learning,0.050280266
78,Direct Learning,0.062046997
79,Direct Learning,0.065773636
80,Direct Learning,0.07271321
81,Direct Learning,0.16085054
82,Direct Learning,0.050790064
83,Direct Learning,0.03394835
84,Direct Learning,0.059551567
85,Direct Learning,0.035134945
86,Direct Learning,0.09733882
87,Direct Learning,0.08774252
88,Direct Learning,0.08036926
89,Direct Learning,0.13495338
90,Direct Learning,0.062084805
91,Direct Learning,0.09209612
92,Direct Learning,0.1138247
93,Direct Learning,0.1037655
94,Direct Learning,0.096304454
95,Direct Learning,0.10308955
96,Direct Learning,0.08399014
97,Direct Learning,0.15583289
98,Direct Learning,0.13391192
99,Direct Learning,0.042179387
100,Direct Learning,0.08172812
1,Transfer Learning,0.118152365
2,Transfer Learning,0.05221336
3,Transfer Learning,0.06160879
4,Transfer Learning,0.02440599
5,Transfer Learning,0.054432623
6,Transfer Learning,0.06068973
7,Transfer Learning,0.027085641
8,Transfer Learning,0.08480135
9,Transfer Learning,0.036599956
10,Transfer Learning,0.040875398
11,Transfer Learning,0.045419715
12,Transfer Learning,0.05950994
13,Transfer Learning,0.0665797
14,Transfer Learning,0.026029151
15,Transfer Learning,0.053546917
16,Transfer Learning,0.0380025
17,Transfer Learning,0.03629293
18,Transfer Learning,0.07685104
19,Transfer Learning,0.056265462
20,Transfer Learning,0.06206135
21,Transfer Learning,0.088155404
22,Transfer Learning,0.03708926
23,Transfer Learning,0.053340167
24,Transfer Learning,0.043514647
25,Transfer Learning,0.04043914
26,Transfer Learning,0.10977002
27,Transfer Learning,0.029834662
28,Transfer Learning,0.075599045
29,Transfer Learning,0.03795838
30,Transfer Learning,0.049606454
31,Transfer Learning,0.038978
32,Transfer Learning,0.10977559
33,Transfer Learning,0.029025551
34,Transfer Learning,0.038794715
35,Transfer Learning,0.03281147
36,Transfer Learning,0.040997956
37,Transfer Learning,0.071188614
38,Transfer Learning,0.06147345
39,Transfer Learning,0.028682461
40,Transfer Learning,0.050213587
41,Transfer Learning,0.05082841
42,Transfer Learning,0.018388536
43,Transfer Learning,0.040366314
44,Transfer Learning,0.040743116
45,Transfer Learning,0.024670528
46,Transfer Learning,0.04350382
47,Transfer Learning,0.03171157
48,Transfer Learning,0.03811445
49,Transfer Learning,0.018340943
50,Transfer Learning,0.05196328
51,Transfer Learning,0.04956568
52,Transfer Learning,0.05783279
53,Transfer Learning,0.037233952
54,Transfer Learning,0.048548345
55,Transfer Learning,0.073368646
56,Transfer Learning,0.036553405
57,Transfer Learning,0.021642873
58,Transfer Learning,0.02752108
59,Transfer Learning,0.03786517
60,Transfer Learning,0.01806889
61,Transfer Learning,0.029981684
62,Transfer Learning,0.06486216
63,Transfer Learning,0.036405317
64,Transfer Learning,0.037336797
65,Transfer Learning,0.03189019
66,Transfer Learning,0.0205441
67,Transfer Learning,0.03316117
68,Transfer Learning,0.028959092
69,Transfer Learning,0.061491407
70,Transfer Learning,0.04042148
71,Transfer Learning,0.10907247
72,Transfer Learning,0.044193458
73,Transfer Learning,0.059989918
74,Transfer Learning,0.058953505
75,Transfer Learning,0.06678393
76,Transfer Learning,0.03712272
77,Transfer Learning,0.04619513
78,Transfer Learning,0.040963586
79,Transfer Learning,0.045517594
80,Transfer Learning,0.030925194
81,Transfer Learning,0.057873696
82,Transfer Learning,0.037844118
83,Transfer Learning,0.056797743
84,Transfer Learning,0.07677768
85,Transfer Learning,0.033370994
86,Transfer Learning,0.014789069
87,Transfer Learning,0.045151327
88,Transfer Learning,0.028504979
89,Transfer Learning,0.09454315
90,Transfer Learning,0.059638232
91,Transfer Learning,0.054153264
92,Transfer Learning,0.06652869
93,Transfer Learning,0.045847524
94,Transfer Learning,0.025446236
95,Transfer Learning,0.05379919
96,Transfer Learning,0.034416206
97,Transfer Learning,0.07696526
98,Transfer Learning,0.054924857
99,Transfer Learning,0.023747701
100,Transfer Learning,0.037115503
