,feature,weight,std
0,#861,0.44869335336870353,0.12211821531195079
1,#592,0.3399910918762237,0.17578098400676706
2,#78,0.2410274318093335,0.21442444275272013
3,#442,0.23149296266995617,0.08701449202359632
4,#546,0.2276507724517165,0.08759784920406884
5,#4783,0.22327547411871307,0.0723322913852632
6,#1433,0.19634582621432214,0.054244797357823483
7,#125,0.19037955470467455,0.06456283999958055
8,#1091,0.17762662987415961,0.09330942917087828
9,#1170,0.17551148581408055,0.11462919868048713
10,#913,0.16185946826399783,0.03506600366539986
11,#5043,0.15006550230768897,0.162235101773117
12,#1559,0.14824750680055554,0.029403545568641977
13,#1715,0.14791188413371198,0.06097414044521816
14,#369,0.1435551597377051,0.02546946864359386
15,#1299,0.14079910445086785,0.05483339030496046
16,#4568,0.13215654893747636,0.05532608187082582
17,#4731,0.12355085032707298,0.08318395846057967
18,#675,0.12300903634552554,0.08491991771700147
19,#779,0.12147305783977125,0.0782226377746318
20,#1485,0.11640697062823198,0.03435205285431746
21,#702,0.10826279742209328,0.05172847182991459
22,#4238,0.10657509182746398,0.016303410118643568
23,#1507,0.09873016424872443,0.047776277000752
24,#1268,0.09368026977576567,0.04952669370908116
25,#4324,0.08778712965062274,0.023594406229982566
26,#623,0.08484140756151093,0.04401918911360663
27,#4544,0.08477080915148885,0.03341537033904278
28,#831,0.08309574031480679,0.0670142367337155
29,#611,0.08122785487569387,0.03768149886976618
30,#1039,0.07308342646082211,0.0639740388210281
31,#650,0.07082395064954819,0.06308813934828007
32,#378,0.06465890674936055,0.032075376277008696
33,#767,0.06180768281358162,0.018625461715540838
34,#5798,0.06150463072808647,0.025187298716381964
35,#1534,0.061002218710811594,0.032063005768293934
36,#1641,0.060197589457512655,0.0734767963956283
37,#5174,0.058377991229557405,0.05773445384962083
38,#430,0.05785634380001623,0.027096342173501573
39,#4966,0.057184404641168626,0.047700896828409084
40,#482,0.05502881963079611,0.03683936622840811
41,#993,0.05275107261134626,0.027354943627293075
42,#4596,0.052715901645531596,0.06025570895253543
43,#384,0.05139868745092775,0.0336667951631722
44,#4030,0.05016473250803695,0.023908578187212724
45,#889,0.04588346804419441,0.051790834463396836
46,#5355,0.044136707115838524,0.04017649111013586
47,#4887,0.04407787495429316,0.03756964066115802
48,#4425,0.043204478487039434,0.035714827911769546
49,#4474,0.042948380735675376,0.029296586063973055
50,#559,0.04228743205971104,0.017884096053097175
51,#1663,0.04214400664819142,0.03127222894832305
52,#207,0.041304868535995395,0.012074317393479963
53,#124,0.041199491982110016,0.029059720925086435
54,#4336,0.04075298047162965,0.02530760750502431
55,#162,0.040212828681491654,0.024654378995355348
56,#488,0.04018134448656112,0.014085024650440436
57,#4477,0.038867835867774356,0.03256685353765427
58,#525,0.03797480193400014,0.013887323774739783
59,#1351,0.03664306221123652,0.046882474416697226
60,#5304,0.03579750325428992,0.03718685747460054
61,#4134,0.035187016969419414,0.010631753211054577
62,#5486,0.03457491494792801,0.029881790444895993
63,#494,0.03430614192635388,0.030434738034591742
64,#47,0.03367498734280261,0.01326405485612462
65,#4409,0.032727232465180986,0.04570911408039058
66,#4220,0.032119554102262346,0.01728141513475145
67,#1262,0.03125562026317443,0.04083880880877322
68,#57,0.030557385628689194,0.04167003633889666
69,#987,0.029699293564960462,0.09318221686281193
70,#754,0.0292781532045157,0.009387029220866983
71,#338,0.02869502374934465,0.033925950149699735
72,#5642,0.02858815411153226,0.024847701498154552
73,#256,0.028190511398567163,0.024416013031238283
74,#5746,0.02767161008850849,0.06400341997358973
75,#644,0.027528013486638782,0.017503318426996557
76,#1118,0.02744187141021035,0.017680948604941175
77,#48,0.027372523575554773,0.030681141825854987
78,#1066,0.02685184129787801,0.08909162741219591
79,#4737,0.02656892281627541,0.02944067196140144
80,#598,0.026529668272335827,0.059083309775225835
81,#658,0.026444236753415406,0.07190093001428408
82,#1195,0.025083384259040265,0.03839443672517404
83,#883,0.024608807712569902,0.018931228015753643
84,#4724,0.02455883429689496,0.050492137268427585
85,#733,0.023489238910360387,0.025033259288884377
86,#473,0.02276815373108838,0.048903401077661925
87,#757,0.02257047115543851,0.03918413947365572
88,#1455,0.022002442345108952,0.029802678225655514
89,#265,0.02110343983520515,0.04190669402672239
90,#5459,0.02107427088652094,0.012251949405855164
91,#4835,0.020376620683727097,0.07516440690711267
92,#229,0.020347273798285048,0.01533367867790074
93,#638,0.020024038334664374,0.011365190940552529
94,#4810,0.02001621786455716,0.07717154763311422
95,#5979,0.01830609582656497,0.022947864828878273
96,#984,0.017618015651280274,0.06006438862992836
97,#3992,0.016845478338685816,0.029524002089086697
98,#5012,0.016560127645499655,0.07036097677402435
99,#4394,0.01627736521132106,0.020616329926640472
100,#806,0.014892127434110258,0.01875026653431936
101,#1225,0.014750362277108974,0.013305482130888014
102,#103,0.01427907190922113,0.01296741353895388
103,#200,0.013356172593435444,0.0541062250729307
104,#5563,0.013237630977583615,0.04925296720101272
105,#715,0.01195384353737483,0.04090420263539969
106,#5694,0.011381077268748752,0.017823300927150707
107,#1274,0.010677416504328185,0.017965429713573396
108,#326,0.010219364054514735,0.08266250332444207
109,#38,0.010118692211767043,0.012863868474267272
110,#72,0.009781599293633758,0.02575104605619689
111,#5434,0.009436637479055987,0.004253170754727763
112,#4627,0.009287783864121768,0.025565754318944568
113,#4193,0.008613539201038734,0.044260279480266264
114,#586,0.00823286735559139,0.027464160237217844
115,#403,0.00816058715088388,0.02052771930251225
116,#5902,0.007980427739425599,0.014439520385110136
117,#4839,0.007675814284670035,0.023339971758648163
118,#421,0.00680463349949374,0.010862134475763539
119,#4828,0.006650591987471799,0.007306482338199773
120,#4804,0.006014635379633182,0.006675254179424742
121,#4752,0.005212094553648727,0.02022500603946566
122,#1589,0.005124617887047345,0.025080259489489262
123,#5590,0.004095991832740298,0.012790471650551197
124,#5954,0.0028643852111196245,0.021901510276793556
125,#5226,0.0027648830628453245,0.006470086340490316
126,#280,0.0020577116091535785,0.005620178310040144
127,#4284,0.0015782790657921097,0.028492815982799614
128,#4376,0.0009451952045222312,0.04715262354331384
129,#27,0.0008981595129285535,0.012062565031607277
130,#4991,0.00013195388769577933,0.07095974042893316
131,#4562,0.0,0.0
132,#1183,0.0,0.0
133,#4304,0.0,0.0
134,#4117,0.0,0.0
135,#92,0.0,0.0
136,#440,0.0,0.0
137,#4328,0.0,0.0
138,#148,0.0,0.0
139,#601,0.0,0.0
140,#146,0.0,0.0
141,#4356,0.0,0.0
142,#653,0.0,0.0
143,#4270,0.0,0.0
144,#100,0.0,0.0
145,#4856,0.0,0.0
146,#5006,0.0,0.0
147,#4891,0.0,0.0
148,#4516,0.0,0.0
149,#4109,0.0,0.0
150,#4170,0.0,0.0
151,#159,0.0,0.0
152,#4329,0.0,0.0
153,#4217,0.0,0.0
154,#450,0.0,0.0
155,#794,0.0,0.0
156,#4377,0.0,0.0
157,#222,0.0,0.0
158,#871,0.0,0.0
159,#4513,0.0,0.0
160,#1210,0.0,0.0
161,#109,0.0,0.0
162,#315,0.0,0.0
163,#4250,0.0,0.0
164,#216,0.0,0.0
165,#196,0.0,0.0
166,#454,0.0,0.0
167,#4948,0.0,0.0
168,#5064,0.0,0.0
169,#680,0.0,0.0
170,#73,0.0,0.0
171,#402,0.0,0.0
172,#4009,0.0,0.0
173,#3990,0.0,0.0
174,#4460,0.0,0.0
175,#18,0.0,0.0
176,#681,0.0,0.0
177,#149,0.0,0.0
178,#242,0.0,0.0
179,#4633,0.0,0.0
180,#4591,0.0,0.0
181,#408,0.0,0.0
182,#351,0.0,0.0
183,#1097,0.0,0.0
184,#1287,0.0,0.0
185,#4044,0.0,0.0
186,#4668,0.0,0.0
187,#4772,0.0,0.0
188,#4310,0.0,0.0
189,#4493,0.0,0.0
190,#4473,0.0,0.0
191,#356,0.0,0.0
192,#4620,0.0,0.0
193,#4201,0.0,0.0
194,#4160,0.0,0.0
195,#516,0.0,0.0
196,#632,0.0,0.0
197,#4453,0.0,0.0
198,#4168,0.0,0.0
199,#5063,0.0,0.0
200,#33,0.0,0.0
201,#4212,0.0,0.0
202,#4263,0.0,0.0
203,#456,0.0,0.0
204,#246,0.0,0.0
205,#332,0.0,0.0
206,#4197,0.0,0.0
207,#4285,0.0,0.0
208,#4715,0.0,0.0
209,#305,0.0,0.0
210,#573,0.0,0.0
211,#424,0.0,0.0
212,#858,-0.00036240291014102424,0.008268663931956667
213,#5122,-0.0004602798065003411,0.03607453942758909
214,#161,-0.0013010635629540745,0.010667091893445207
215,#4141,-0.0013314936770387532,0.02325994389608637
216,#4368,-0.0018289810226970627,0.021541193919394474
217,#4914,-0.001896630327301896,0.04140895457121876
218,#910,-0.0025442428725508835,0.013568807250958142
219,#4297,-0.0029580540478361117,0.05729188014775391
220,#5875,-0.0029613690606564045,0.03903322261089821
221,#4057,-0.0029732574472574047,0.013356517120751532
222,#4581,-0.0033915065008560006,0.005675735501756103
223,#234,-0.003628987129309147,0.024864195850097803
224,#5272,-0.004345594653821894,0.014692614287900602
225,#5538,-0.004507872343963859,0.019224155977280187
226,#5018,-0.004517669581082328,0.002146588736182281
227,#4896,-0.0045589920977402,0.016599211142015593
228,#5382,-0.005052399190194646,0.03123556396121128
229,#612,-0.005121033751544846,0.02122246921492916
230,#4302,-0.005460640971446806,0.014177835850085007
231,#1247,-0.0060595461724934465,0.0396342500131539
232,#29,-0.006389374042277218,0.050918507975744154
233,#1149,-0.0068126260925250644,0.03923688824662747
234,#130,-0.00715866395970981,0.023579326391475818
235,#4550,-0.007642358483682265,0.02126196170073865
236,#1403,-0.00764817592583642,0.06268242428853292
237,#4100,-0.007853590117662823,0.011488375032733653
238,#4939,-0.008868483719021625,0.06356925679488767
239,#4862,-0.009401387669168381,0.0760219790047512
240,#508,-0.00962012379611108,0.012853735940756825
241,#4082,-0.01042071477857387,0.015749845698036072
242,#663,-0.010812590879134065,0.014905546703242815
243,#5850,-0.010948250805748572,0.033726119457028456
244,#727,-0.01303584462079741,0.0526809567815605
245,#962,-0.01728063119694929,0.020096402291599386
246,#519,-0.019192284715609742,0.04373800992086864
247,#4505,-0.020359837240990396,0.054500642375722136
248,#1222,-0.022748102537097758,0.10591981953892755
249,#4480,-0.023482076917911533,0.02988380420870493
250,#4024,-0.026770106211926305,0.04972593879672505
251,#4654,-0.027480958274475876,0.045332625153185396
252,#4679,-0.02748688118287197,0.043252530053127736
253,#1586,-0.029631606695419956,0.025015909907369818
254,#4428,-0.030055639315402716,0.023642342194827776
255,#4841,-0.030658948890502268,0.014915252803169424
