,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,7.105427357601002e-15
6,3.383536899976143e-16
7,1.4802974102831747e-16
8,6.579099718902019e-16
9,1.5395093808098846e-15
10,5.490557773111257e-15
11,1.0855513900913621e-15
12,3.5297986755722377e-10
13,5.075305482313112e-16
14,3.86851043142648e-15
15,3.2566542761532048e-15
16,1.1842379282265398e-15
17,4.6711605463105495e-15
18,6.232831061877685e-17
19,1.1842379282265398e-15
20,3.214360227030903e-15
21,4.36014868280361e-15
22,5.715234956436355e-15
23,2.269789318317902e-15
24,6.631732228662033e-16
25,8.822846099543202e-12
26,6.052771656686563e-15
27,8.543570018115787e-11
28,1.340005970767999e-11
29,1.6718676139684807e-12
30,1.1842379282265398e-15
31,2.1284900925122585e-11
32,1.4856540531127393e-07
33,4.147632459705619e-09
34,1.202957520263226e-07
35,1.6671188518557756e-07
36,6.689344021602482e-15
37,1.1226218177284863e-08
38,4.472524128829036e-09
39,1.0690271068369839e-07
40,1.3295089473785993e-08
41,3.1249943077682474e-08
42,7.223536435674305e-09
43,6.93068580304157e-09
44,1.6886040343777609e-09
45,1.4436647006732528e-06
46,8.81226043247807e-08
47,1.9341025847552373e-07
48,2.7608283659219524e-08
49,6.589320378225239e-08
50,7.298319067150505e-12
51,3.054352418985218e-06
52,7.5198005333732e-07
53,8.806335927147302e-07
54,3.2929681204052486e-10
