IUPAC,ion1,ion2,density,temperature,pressure
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],986.8,298.15,101
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],983.7,303.15,101
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],977.6,313.15,101
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],971.6,323.15,101
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],965.7,333.15,101
(3-aminopropyl)tributylphosphonium L-alaninate,[N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],960,343.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],971.9,298.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],968.8,303.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],962.7,313.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],956.5,323.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],950.5,333.15,101
(3-aminopropyl)tributylphosphonium L-leucinate,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],944.6,343.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],980.7,298.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],977.7,303.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],971.6,313.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],965.5,323.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],959.5,333.15,101
(3-aminopropyl)tributylphosphonium L-valinate,[N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[N][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],953.5,343.15,101
