,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.0047163223
2,Direct Learning,0.059799064
3,Direct Learning,0.18313864
4,Direct Learning,0.0015963921
5,Direct Learning,0.00097224646
6,Direct Learning,0.104063906
7,Direct Learning,0.082592204
8,Direct Learning,0.043039925
9,Direct Learning,0.0066541955
10,Direct Learning,0.0024711876
11,Direct Learning,0.019457787
12,Direct Learning,0.00052662555
13,Direct Learning,0.020959739
14,Direct Learning,0.021092718
15,Direct Learning,0.08816385
16,Direct Learning,0.08696279
17,Direct Learning,0.073971294
18,Direct Learning,0.01772701
19,Direct Learning,0.22844107
20,Direct Learning,0.056998182
21,Direct Learning,0.01160177
22,Direct Learning,0.058916766
23,Direct Learning,0.018233614
24,Direct Learning,0.096521266
25,Direct Learning,0.036136404
26,Direct Learning,0.0015686633
27,Direct Learning,0.031025166
28,Direct Learning,0.043054897
29,Direct Learning,0.00329385
30,Direct Learning,0.0011804557
31,Direct Learning,0.00048775985
32,Direct Learning,0.0032705062
33,Direct Learning,0.09833516
34,Direct Learning,0.0030079638
35,Direct Learning,0.0006628316
36,Direct Learning,0.001218511
37,Direct Learning,0.0027169117
38,Direct Learning,0.11891694
39,Direct Learning,0.02665864
40,Direct Learning,0.037662778
41,Direct Learning,0.031100696
42,Direct Learning,0.008773665
43,Direct Learning,0.0030998203
44,Direct Learning,0.00054478936
45,Direct Learning,0.0062768147
46,Direct Learning,0.0025160266
47,Direct Learning,0.00085245224
48,Direct Learning,0.08652337
49,Direct Learning,0.0028434922
50,Direct Learning,0.06541605
51,Direct Learning,0.058049798
52,Direct Learning,0.051797766
53,Direct Learning,0.00040349612
54,Direct Learning,0.032597527
55,Direct Learning,0.0145922275
56,Direct Learning,0.012418168
57,Direct Learning,0.014338523
58,Direct Learning,0.15128165
59,Direct Learning,0.0010223251
60,Direct Learning,0.0085054245
61,Direct Learning,0.0070009814
62,Direct Learning,0.0400896
63,Direct Learning,0.037223257
64,Direct Learning,0.037763957
65,Direct Learning,0.0039086193
66,Direct Learning,0.1583739
67,Direct Learning,0.016815573
68,Direct Learning,0.07914998
69,Direct Learning,0.005953164
70,Direct Learning,0.0013267223
71,Direct Learning,0.044151813
72,Direct Learning,0.009930188
73,Direct Learning,0.0014559363
74,Direct Learning,0.00072603783
75,Direct Learning,0.008104255
76,Direct Learning,0.05694852
77,Direct Learning,0.023487363
78,Direct Learning,0.25042588
79,Direct Learning,0.05134685
80,Direct Learning,0.0009748248
81,Direct Learning,0.0028906416
82,Direct Learning,0.01582445
83,Direct Learning,0.010464969
84,Direct Learning,0.0037152092
85,Direct Learning,0.17508128
86,Direct Learning,0.018955618
87,Direct Learning,0.109525785
88,Direct Learning,0.088739514
89,Direct Learning,0.0014004179
90,Direct Learning,0.099299215
91,Direct Learning,0.04838994
92,Direct Learning,0.0013869328
93,Direct Learning,0.14623804
94,Direct Learning,0.002859038
95,Direct Learning,0.018625693
96,Direct Learning,0.0032802378
97,Direct Learning,0.09090809
98,Direct Learning,0.2661096
99,Direct Learning,0.0025722627
100,Direct Learning,0.078238934
1,Transfer Learning,0.0073195705
2,Transfer Learning,0.006616271
3,Transfer Learning,0.023391053
4,Transfer Learning,0.0024540017
5,Transfer Learning,0.0017104186
6,Transfer Learning,0.005143217
7,Transfer Learning,0.01184445
8,Transfer Learning,0.0045148777
9,Transfer Learning,0.006609641
10,Transfer Learning,0.0031665259
11,Transfer Learning,0.006009588
12,Transfer Learning,0.0050582895
13,Transfer Learning,0.0023912094
14,Transfer Learning,0.005698261
15,Transfer Learning,0.0062360773
16,Transfer Learning,0.01652072
17,Transfer Learning,0.01808633
18,Transfer Learning,0.009172137
19,Transfer Learning,0.023419756
20,Transfer Learning,0.011723586
21,Transfer Learning,0.008644361
22,Transfer Learning,0.008471051
23,Transfer Learning,0.00598098
24,Transfer Learning,0.0073053213
25,Transfer Learning,0.011856282
26,Transfer Learning,0.0037251872
27,Transfer Learning,0.05073289
28,Transfer Learning,0.006139065
29,Transfer Learning,0.00584993
30,Transfer Learning,0.0017985627
31,Transfer Learning,0.0010597666
32,Transfer Learning,0.0036323504
33,Transfer Learning,0.0142203225
34,Transfer Learning,0.002942701
