,0
0,0.0073195705
1,0.006616271
2,0.023391053
3,0.0024540017
4,0.0017104186
5,0.005143217
6,0.01184445
7,0.0045148777
8,0.006609641
9,0.0031665259
10,0.006009588
11,0.0050582895
12,0.0023912094
13,0.005698261
14,0.0062360773
15,0.01652072
16,0.01808633
17,0.009172137
18,0.023419756
19,0.011723586
20,0.008644361
21,0.008471051
22,0.00598098
23,0.0073053213
24,0.011856282
25,0.0037251872
26,0.05073289
27,0.006139065
28,0.00584993
29,0.0017985627
30,0.0010597666
31,0.0036323504
32,0.0142203225
33,0.002942701
34,0.005255352
35,0.0049782256
36,0.013804501
37,0.009628438
38,0.006205146
39,0.0026221045
40,0.0057489527
41,0.006134041
42,0.005966823
43,0.0026961477
44,0.0066196136
45,0.0029390517
46,0.0025105397
47,0.009213573
48,0.0036360114
49,0.01278427
50,0.011081311
51,0.008966628
52,0.011631387
53,0.010048306
54,0.002415988
55,0.008712941
56,0.037178583
57,0.003673276
58,0.005253686
59,0.011846436
60,0.0028399427
61,0.008704716
62,0.00834913
63,0.0040991637
64,0.0015593135
65,0.008176073
66,0.012253223
67,0.0067134113
68,0.0021458433
69,0.0016987573
70,0.0033476162
71,0.004355712
72,0.0035152857
73,0.0034394227
74,0.0030318438
75,0.018429028
76,0.007172796
77,0.0132449195
78,0.033578034
79,0.0038095186
80,0.0054601603
81,0.013230963
82,0.0025437723
83,0.0048550065
84,0.047344737
85,0.00517382
86,0.0067311535
87,0.0047050877
88,0.0070605264
89,0.09203247
90,0.005440886
91,0.006225307
92,0.010879363
93,0.0056591406
94,0.006445301
95,0.0020553016
96,0.007446541
97,0.082857445
98,0.006682149
99,0.0048452076
