,feature,weight,std
0,PC1,1.1065082714388157,0.039115063350610685
1,PC3,0.9102101811704275,0.03521422648684787
2,PC5,0.71661459704779,0.03870478413715085
3,PC2,0.6367158363208659,0.028181628100752882
4,PC4,0.5106692269182704,0.018996142936177917
5,PC10,0.41882045605775564,0.0228449234303424
6,PC7,0.41521136674673675,0.01613238476464394
7,PC6,0.37234907350041924,0.008119461804199764
8,PC8,0.331691245150166,0.009948046059689693
9,PC9,0.3141763720625998,0.016996922473541752
10,PC12,0.25836405697096565,0.008114248425246271
11,PC14,0.21728046025773837,0.01575941219901274
12,PC15,0.2111788553386688,0.015503064160320462
13,PC11,0.20181135756734842,0.010280464577057455
14,PC17,0.18167981267548558,0.009971613314009751
15,PC19,0.17218534520745582,0.003061466270582458
16,PC21,0.15808146072252738,0.008659106805324479
17,PC35,0.14906687693769352,0.010473939417635325
18,PC25,0.14720213925618592,0.006935359326147933
19,PC16,0.14637285223996882,0.016291922637433804
20,PC18,0.1406479001765188,0.009528210918395013
21,PC13,0.13312980464155744,0.011918408502944606
22,PC23,0.1276882595434871,0.009587005726123908
23,PC22,0.12731106012566154,0.004010328954058049
24,PC31,0.10954808376742506,0.00897478706064615
25,PC20,0.09719615846508416,0.0061298930494502225
26,PC32,0.08613136612682241,0.005600514739593084
27,PC30,0.08535841119439358,0.006041423723176477
28,PC27,0.08414401845253491,0.002643003080548543
29,PC24,0.07599950741561837,0.006643531512656725
30,PC46,0.07386185458134627,0.006214539063394143
31,PC48,0.07325397996273604,0.002792073510477175
32,PC42,0.0732179827792645,0.00454582641493604
33,PC33,0.07307618562677198,0.008737169998642122
34,PC28,0.07107962389504212,0.005867255202297747
35,PC34,0.06282087720496254,0.0025322790210040398
36,PC41,0.060631537581868566,0.005226238878500761
37,PC37,0.05724282846123272,0.005689094205979742
38,PC45,0.05559253525078338,0.002764678071036466
39,PC29,0.054066768627971176,0.0035498342033633266
40,PC36,0.053494417996394004,0.005411155180542247
41,PC26,0.052702106053086915,0.005357408565141417
42,PC38,0.049986538011205804,0.005771651045000578
43,PC39,0.04372259287670253,0.00356195806866709
44,PC49,0.04110807330951256,0.003035292896343874
45,PC40,0.038201194495711445,0.0018385543937937093
46,PC50,0.036027679818231094,0.005181839116598849
47,PC43,0.03388070058304782,0.004348266219643035
48,PC47,0.03140815205291305,0.0025787878149067683
49,PC44,0.024844328087648138,0.002872406882404252
