,feature,weight,std
0,PC1,78.89336282187335,28.104879051670764
1,PC2,65.97093830280517,6.2787581607327105
2,PC5,33.27110423759296,8.53633762946041
3,PC7,29.199107962477864,15.34260540509061
4,PC4,14.183180462166234,7.623127671957233
5,PC3,10.600156124418955,2.1149991862126822
6,PC8,8.726797979107996,5.590722088303321
7,PC6,6.872205110420071,3.4805500846909148
8,PC10,4.97900310824092,0.19669031663285122
9,PC14,0.6394524161453063,0.5736336444594731
10,PC9,0.5397621376135099,0.10326327028923481
11,PC13,0.2913455637771759,0.09400768038621676
12,PC11,0.26415484793731475,0.16290180217425157
13,PC12,0.04545584179106292,0.10188581282631749
14,PC22,2.574991317949582e-07,0.0
15,PC31,1.8420928846740736e-07,2.3547026066366624e-07
16,PC41,9.420257245373875e-08,1.897335862183e-07
17,PC35,9.315587721214768e-08,2.315551777912172e-07
18,PC33,8.751098312664851e-08,1.4096456912166126e-07
19,PC19,7.076385921678252e-08,5.239078797150746e-08
20,PC40,4.2642243469614985e-08,1.759764161468542e-07
21,PC21,3.4510691904188204e-08,4.226679291782974e-08
22,PC16,7.260313905632643e-09,1.8485588592634485e-07
23,PC50,3.77536322204719e-09,5.170226008595658e-08
24,PC34,0.0,0.0
25,PC30,0.0,0.0
26,PC48,0.0,0.0
27,PC45,0.0,0.0
28,PC43,0.0,0.0
29,PC42,0.0,0.0
30,PC39,0.0,0.0
31,PC38,0.0,0.0
32,PC49,0.0,0.0
33,PC15,0.0,0.0
34,PC25,0.0,0.0
35,PC18,0.0,0.0
36,PC29,0.0,0.0
37,PC27,0.0,0.0
38,PC17,-1.536766434107051e-08,3.073532868214101e-08
39,PC36,-1.536766434107051e-08,3.073532868214102e-08
40,PC37,-1.536766434107051e-08,3.073532868214101e-08
41,PC44,-1.536766434107051e-08,3.073532868214102e-08
42,PC46,-2.4249448227209314e-08,3.0405146584192936e-07
43,PC28,-3.073532868214102e-08,3.7642936173987014e-08
44,PC24,-4.058817955066019e-08,4.6453521073953325e-08
45,PC26,-6.147065736428204e-08,3.073532868214101e-08
46,PC47,-9.680418484592224e-08,1.9360836969184448e-07
47,PC32,-2.9991751542279844e-07,2.3546060745806168e-07
48,PC20,-3.2700453638234707e-07,2.392020664541006e-07
49,PC23,-4.840209242296112e-07,0.0
