,0
0,1.8202481442131102e-06
1,1.9531285943230614e-05
2,2.2669872123515233e-05
3,2.0501684048213065e-05
4,2.0380372006911784e-05
5,2.1540041416301392e-05
6,1.7556802049512044e-05
7,5.086375313112512e-05
8,3.629303682828322e-05
9,5.619798321276903e-05
10,3.149698386550881e-05
11,3.649943391792476e-05
12,4.7079574869712815e-05
13,6.264069088501856e-05
14,4.222747520543635e-05
15,6.686359120067209e-05
16,3.871104490826838e-05
17,6.524629861814901e-05
18,8.309418626595289e-05
19,4.184315548627637e-05
20,7.843345520086586e-05
21,6.68726788717322e-05
22,6.267931894399226e-05
23,8.259784226538613e-05
24,8.714965952094644e-05
25,0.00010018322063842788
26,4.743063618661836e-05
27,8.532175706932321e-05
