,0
0,0.0
1,0.0
2,0.0
3,3.552713678800501e-15
4,0.0
5,2.3684758564530796e-15
6,2.030122192925245e-15
7,0.0
8,0.0
9,6.277966235757049e-07
10,5.707498189622129e-07
11,5.231809154793154e-07
12,5.329705459189427e-07
13,4.960083970217966e-07
14,4.61861617395698e-07
15,6.376640726557525e-07
16,5.348294394025288e-07
17,4.431476554600522e-07
18,4.714259489446704e-07
19,4.459124340883136e-07
20,3.7380965522970655e-07
21,3.933741652417666e-07
22,4.515059970344737e-07
23,3.5444881518742477e-07
24,3.4105914892279543e-07
25,3.2711952258068777e-07
26,3.440185878389457e-07
27,3.02195502399627e-07
28,3.089937479217042e-07
29,3.038924489828787e-07
30,3.6589523233487853e-07
31,2.8867495416307065e-07
32,3.2040603059613204e-07
33,3.4625639955265797e-07
34,3.536252961566788e-07
35,3.296092074833723e-07
36,3.2045201692199043e-07
37,2.7408165692577313e-07
38,3.506928010210686e-07
39,3.4645492519302934e-07
40,3.503473919863609e-07
41,3.2489541013092094e-07
42,3.3894977491399914e-07
43,3.4727935371847707e-07
44,3.283773253315303e-07
45,5.005087473364256e-07
46,3.278164513176307e-07
47,3.678305233734136e-07
48,5.625619792226644e-07
49,2.9042067239970493e-07
50,3.7260579688336293e-07
51,2.9820085956089315e-07
52,3.145912614854751e-07
53,3.2580450692876184e-07
54,2.8252048878130154e-07
55,3.4390060932310007e-07
56,2.627929802656581e-07
57,2.6141353259845346e-07
58,2.8060975409971434e-07
59,2.310029003638192e-07
60,4.777705271408195e-07
61,4.0831821479514474e-07
62,3.7853936873943894e-07
63,4.228334091749275e-07
64,5.58007855033793e-07
65,4.4858396108793386e-07
66,3.3584288416932395e-07
67,4.89135970838106e-07
68,3.300539788142487e-07
69,3.676102835470374e-07
70,3.177788130415138e-07
71,3.2811112760100514e-07
72,3.18568339707781e-07
73,3.5747942206398875e-07
74,5.564332354879298e-07
75,3.978401821314037e-07
76,3.508522752326826e-07
77,3.055837680676632e-07
78,3.2716681630517996e-07
