IUPAC,ion1,ion2,density,temperature,pressure
1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1588.6,283.15,101.325
1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,[F][C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1636.1,283.15,101.325
1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,[F][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][F],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1556.3,283.15,101.325
1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[O][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1604,283.15,101.325
1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][O][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1468.8,283.15,101.325
1-(3-methylbutyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][C][Branch1][=N][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1417.5,283.15,101.325
1-(4-methylpentyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][C][Branch1][=C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1385.9,283.15,101.325
1-(5-methylhexyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][C][Branch1][#C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1357.5,283.15,101.325
1-(cyclohexylmethyl)-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1431,283.15,101.325
"1,3-dibenzyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1448,283.15,101.325
